zone_id,segment_id,district_id,highway_code,susceptibility_class,lsi_score,slope_factor,relief_factor,lithology_factor,drainage_factor,road_cut_factor,rainfall_factor,historic_density_per_km,historic_event_count,assessment_method,assessed_on
SZ-0046,SEG-0046,D-WB-01,NH-10,very_high,0.7002,0.933,0.295,0.85,0.496,0.55,0.6,1.2668,66,weighted_overlay_NLSM,2026-06-30
SZ-0047,SEG-0047,D-SK-01,NH-10,high,0.6569,0.616,0.55,0.85,0.171,0.55,0.72,10.2941,70,weighted_overlay_NLSM,2026-06-30
SZ-0048,SEG-0048,D-SK-01,NH-10,high,0.6747,0.711,0.55,0.85,0.083,0.55,0.72,3.263,51,weighted_overlay_NLSM,2026-06-30
SZ-0049,SEG-0049,D-SK-01,NH-310,high,0.6253,0.496,0.483,0.85,0.266,0.55,0.72,2.1006,43,weighted_overlay_NLSM,2026-06-30
SZ-0050,SEG-0050,D-SK-02,NH-310,very_high,0.7245,0.74,0.417,0.85,0.286,0.9,0.72,5.6233,83,weighted_overlay_NLSM,2026-06-30
SZ-0051,SEG-0051,D-SK-02,NH-310,very_high,0.7423,0.889,0.417,0.85,1.0,0.25,0.72,3.0577,44,weighted_overlay_NLSM,2026-06-30
SZ-0052,SEG-0052,D-SK-01,NH-510,very_high,0.7503,0.822,0.554,0.85,0.136,0.9,0.72,2.2321,85,weighted_overlay_NLSM,2026-06-30
SZ-0053,SEG-0053,D-SK-03,NH-510,high,0.5856,0.5,0.558,0.85,0.093,0.25,0.72,6.8867,48,weighted_overlay_NLSM,2026-06-30
SZ-0054,SEG-0054,D-SK-03,NH-510,high,0.6827,0.729,0.576,0.85,0.086,0.55,0.72,2.9376,48,weighted_overlay_NLSM,2026-06-30
SZ-0055,SEG-0055,D-SK-04,NH-510,very_high,0.7143,0.833,0.593,0.85,0.115,0.55,0.72,6.5776,64,weighted_overlay_NLSM,2026-06-30
SZ-0056,SEG-0056,D-AS-09,NH-15,low,0.3544,0.289,0.086,0.55,0.09,0.55,0.62,0.1273,12,weighted_overlay_NLSM,2026-06-30
SZ-0057,SEG-0057,D-AR-01,NH-15,moderate,0.4661,0.482,0.086,0.55,0.105,0.55,0.85,0.4789,25,weighted_overlay_NLSM,2026-06-30
SZ-0058,SEG-0058,D-AR-01,NH-13,high,0.626,0.607,0.334,0.85,0.426,0.55,0.85,0.842,47,weighted_overlay_NLSM,2026-06-30
SZ-0059,SEG-0059,D-AR-04,NH-13,very_high,0.7049,0.787,0.364,0.85,0.351,0.55,0.85,1.3586,84,weighted_overlay_NLSM,2026-06-30
SZ-0060,SEG-0060,D-AR-06,NH-13,very_high,0.7497,0.893,0.207,0.85,1.0,0.55,0.85,1.1193,68,weighted_overlay_NLSM,2026-06-30
SZ-0061,SEG-0061,D-AR-06,NH-13,high,0.5826,0.538,0.129,0.85,0.119,0.55,0.85,1.1969,64,weighted_overlay_NLSM,2026-06-30
SZ-0062,SEG-0062,D-AS-09,NH-13-W,high,0.56,0.64,0.416,0.85,0.088,0.25,0.62,1.0729,48,weighted_overlay_NLSM,2026-06-30
SZ-0063,SEG-0063,D-AR-03,NH-13-W,high,0.6573,0.571,0.805,0.85,0.128,0.25,0.85,1.7489,62,weighted_overlay_NLSM,2026-06-30
SZ-0064,SEG-0064,D-AR-03,NH-13-W,very_high,0.7556,0.613,0.91,0.85,0.086,0.9,0.85,1.8706,124,weighted_overlay_NLSM,2026-06-30
SZ-0065,SEG-0065,D-AR-05,NH-315,high,0.6127,0.538,0.353,0.85,0.174,0.55,0.85,1.1781,58,weighted_overlay_NLSM,2026-06-30
SZ-0066,SEG-0066,D-AR-09,NH-315,very_high,0.7302,0.909,0.366,0.85,0.149,0.55,0.85,2.1141,86,weighted_overlay_NLSM,2026-06-30
SZ-0067,SEG-0067,D-AR-07,NH-315,moderate,0.4483,0.384,0.077,0.55,0.178,0.55,0.85,0.5233,20,weighted_overlay_NLSM,2026-06-30
SZ-0068,SEG-0068,D-AS-08,NH-27-DH,high,0.6745,0.904,0.144,0.85,0.139,0.9,0.62,1.0157,68,weighted_overlay_NLSM,2026-06-30
SZ-0069,SEG-0069,D-AS-07,NH-27-DH,high,0.564,0.444,0.117,0.85,0.17,0.9,0.62,1.1628,51,weighted_overlay_NLSM,2026-06-30
SZ-0070,SEG-0070,D-AS-02,NH-36,low,0.3544,0.389,0.041,0.55,0.256,0.25,0.62,0.1606,15,weighted_overlay_NLSM,2026-06-30
SZ-0071,SEG-0071,D-AS-08,NH-36,moderate,0.4198,0.384,0.055,0.55,0.316,0.55,0.62,0.5217,16,weighted_overlay_NLSM,2026-06-30
