disruption_id,segment_id,cause,rainfall_72h_mm,avg_slope_deg,elevation_m,terrain,soil_type,surface_quality,lanes,importance,bridge_count,length_km,susceptibility_class,lsi_score,historic_density_per_km,landslide_volume_m3,runout_distance_m,material,alternate_route_available,month,duration_hours,duration_bucket
DSR-00084,SEG-0052,landslide,11.4,37.0,1662,mountain,weathered_rock,poor,2,state,7,38.08,very_high,0.7503,2.2321,1458,52,earth,True,4,7.1,6_24h
DSR-00150,SEG-0066,landslide,446.6,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,2381,25,debris,True,4,3.6,under_6h
DSR-01935,SEG-0059,flood,214.3,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,0,0,none,True,4,37.3,1_3days
DSR-00081,SEG-0034,landslide,220.3,27.5,891,mountain,weathered_rock,poor,2,national,3,54.94,high,0.6405,1.0193,1715,57,rock,True,4,2.6,under_6h
DSR-02052,SEG-0062,bridge_damage,97.5,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,0,0,none,True,4,402.7,over_3days
DSR-00155,SEG-0059,landslide,282.5,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,984,35,rock,True,5,3.2,under_6h
DSR-00108,SEG-0013,landslide,745.3,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,3374,69,debris,True,5,3.0,under_6h
DSR-00040,SEG-0038,landslide,590.9,1.8,16,plain,alluvial,good,2,national,3,66.77,very_low,0.2089,0.03,447,13,rock,True,5,1.0,under_6h
DSR-02080,SEG-0004,bridge_damage,259.8,3.7,55,plain,alluvial,good,4,national,0,44.45,low,0.2316,0.1125,0,0,none,True,5,615.5,over_3days
DSR-00139,SEG-0031,landslide,150.3,26.1,850,mountain,weathered_rock,fair,2,state,7,59.58,moderate,0.516,0.621,730,25,rock,True,5,7.7,6_24h
DSR-01750,SEG-0055,flood,455.7,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,0,0,none,True,5,239.9,over_3days
DSR-00020,SEG-0030,landslide,450.8,33.9,642,mountain,weathered_rock,good,2,national,5,34.62,moderate,0.5294,0.751,4272,41,earth,True,5,10.9,6_24h
DSR-00116,SEG-0036,landslide,302.3,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,1464,20,rock,True,5,2.8,under_6h
DSR-00110,SEG-0061,landslide,181.8,24.2,386,mountain,weathered_rock,fair,2,national,4,53.47,high,0.5826,1.1969,324,20,debris,True,5,1.0,under_6h
DSR-00159,SEG-0068,landslide,128.1,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,167,8,rock,True,5,3.2,under_6h
DSR-00109,SEG-0014,landslide,294.3,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,136590,176,earth,True,5,125.9,over_3days
DSR-00146,SEG-0015,landslide,676.4,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,4822,85,debris,True,5,7.7,6_24h
DSR-01638,SEG-0024,fallen_tree,166.3,22.5,923,mountain,weathered_rock,fair,2,national,4,51.06,high,0.5596,0.5484,0,0,none,True,5,13.9,6_24h
DSR-01963,SEG-0042,protest_blockade,32.9,9.1,45,hilly,lateritic,poor,2,national,3,16.18,moderate,0.4355,1.0507,0,0,none,True,5,3.4,under_6h
DSR-02138,SEG-0065,road_subsidence,223.4,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,0,0,none,True,5,377.0,over_3days
DSR-00013,SEG-0018,landslide,472.2,10.2,139,hilly,lateritic,poor,2,national,6,83.56,moderate,0.3867,0.2513,27353,146,debris,True,5,15.2,6_24h
DSR-01637,SEG-0066,fallen_tree,167.1,40.9,1099,mountain,weathered_rock,fair,1,state,1,40.68,very_high,0.7302,2.1141,0,0,none,True,5,42.0,1_3days
DSR-00106,SEG-0060,landslide,36.3,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,1144,15,debris,True,5,4.2,under_6h
DSR-00083,SEG-0013,landslide,129.0,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,25,8,rock,True,5,1.0,under_6h
DSR-01774,SEG-0009,road_subsidence,258.5,2.4,93,plain,alluvial,good,4,national,0,50.33,low,0.2614,0.0397,0,0,none,True,5,114.8,over_3days
DSR-01886,SEG-0050,accident_blockage,143.1,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,0,0,none,True,5,10.7,6_24h
DSR-00088,SEG-0013,landslide,912.4,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,8423,105,rock,True,6,26.6,1_3days
DSR-01986,SEG-0037,flood,512.6,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,0,0,none,True,6,515.3,over_3days
DSR-00036,SEG-0048,landslide,172.4,32.0,1650,mountain,weathered_rock,fair,2,national,0,15.63,high,0.6747,3.263,2462,24,earth,True,6,6.6,6_24h
DSR-02096,SEG-0039,fallen_tree,14.9,21.4,36,hilly,lateritic,fair,2,national,7,41.19,moderate,0.4111,0.4613,0,0,none,True,6,25.2,1_3days
DSR-00037,SEG-0020,landslide,100.2,15.5,450,hilly,lateritic,fair,2,national,1,33.37,moderate,0.4853,0.7492,1115,36,rock,True,6,2.5,under_6h
DSR-01834,SEG-0047,flood,595.4,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,0,0,none,True,6,199.6,over_3days
DSR-02113,SEG-0013,road_subsidence,116.0,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,0,0,none,True,6,343.0,over_3days
DSR-02268,SEG-0028,bridge_damage,200.3,34.8,1023,mountain,weathered_rock,good,2,national,7,46.71,high,0.5668,0.8349,0,0,none,True,6,1178.3,over_3days
DSR-00015,SEG-0054,landslide,237.1,32.8,1727,mountain,weathered_rock,fair,2,state,4,16.34,high,0.6827,2.9376,704,30,earth,True,6,2.9,under_6h
DSR-00143,SEG-0052,landslide,358.0,37.0,1662,mountain,weathered_rock,poor,2,state,7,38.08,very_high,0.7503,2.2321,1944,34,debris,True,6,12.4,6_24h
DSR-02010,SEG-0035,bridge_damage,295.7,24.0,1216,mountain,weathered_rock,poor,2,national,1,49.37,high,0.6147,1.1951,0,0,none,True,6,840.1,over_3days
DSR-00010,SEG-0031,landslide,410.3,26.1,850,mountain,weathered_rock,fair,2,state,7,59.58,moderate,0.516,0.621,14027,122,rock,True,6,190.5,over_3days
DSR-02224,SEG-0003,protest_blockade,82.2,2.1,54,plain,alluvial,fair,4,national,1,45.56,low,0.2534,0.0,0,0,none,True,6,2.9,under_6h
DSR-02287,SEG-0045,bridge_damage,395.6,1.7,23,plain,alluvial,good,2,national,0,23.28,low,0.2326,0.043,0,0,none,True,6,558.0,over_3days
DSR-02171,SEG-0026,fallen_tree,50.4,31.7,1319,mountain,weathered_rock,fair,2,national,2,35.84,high,0.6286,1.3672,0,0,none,True,6,16.3,6_24h
DSR-02235,SEG-0028,flood,204.0,34.8,1023,mountain,weathered_rock,good,2,national,7,46.71,high,0.5668,0.8349,0,0,none,True,6,126.7,over_3days
DSR-02021,SEG-0060,fallen_tree,10.1,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,0,0,none,True,6,6.9,6_24h
DSR-00039,SEG-0031,landslide,293.9,26.1,850,mountain,weathered_rock,fair,2,state,7,59.58,moderate,0.516,0.621,856,27,debris,True,6,2.1,under_6h
DSR-00111,SEG-0061,landslide,205.4,24.2,386,mountain,weathered_rock,fair,2,national,4,53.47,high,0.5826,1.1969,40052,210,debris,True,6,143.8,over_3days
DSR-00120,SEG-0024,landslide,246.7,22.5,923,mountain,weathered_rock,fair,2,national,4,51.06,high,0.5596,0.5484,46249,171,debris,True,6,128.4,over_3days
DSR-01959,SEG-0071,accident_blockage,107.8,17.3,165,hilly,lateritic,fair,2,state,3,30.67,moderate,0.4198,0.5217,0,0,none,True,6,8.7,6_24h
DSR-00028,SEG-0042,landslide,121.9,9.1,45,hilly,lateritic,poor,2,national,3,16.18,moderate,0.4355,1.0507,498,30,earth,True,6,1.0,under_6h
DSR-00050,SEG-0050,landslide,461.8,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,889,44,debris,True,6,3.0,under_6h
DSR-02198,SEG-0026,road_subsidence,336.0,31.7,1319,mountain,weathered_rock,fair,2,national,2,35.84,high,0.6286,1.3672,0,0,none,True,6,233.8,over_3days
DSR-02148,SEG-0062,fallen_tree,137.8,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,0,0,none,True,6,26.9,1_3days
DSR-01898,SEG-0020,fallen_tree,51.3,15.5,450,hilly,lateritic,fair,2,national,1,33.37,moderate,0.4853,0.7492,0,0,none,True,6,22.9,6_24h
DSR-02286,SEG-0002,accident_blockage,8.0,4.4,53,plain,alluvial,good,4,national,3,47.71,low,0.2701,0.021,0,0,none,True,6,2.4,under_6h
DSR-00025,SEG-0060,landslide,30.4,40.2,620,mountain,weathered_rock,fair,2,national,3,60.75,very_high,0.7497,1.1193,5390,54,rock,True,6,23.0,6_24h
DSR-00125,SEG-0062,landslide,543.0,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,63,12,rock,True,7,1.0,under_6h
DSR-01717,SEG-0021,flood,437.1,30.0,794,mountain,weathered_rock,fair,2,national,4,46.0,high,0.5592,0.7826,0,0,none,True,7,60.8,1_3days
DSR-00156,SEG-0014,landslide,836.0,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,8033,77,rock,True,7,33.2,1_3days
DSR-02236,SEG-0043,flood,240.6,20.5,34,hilly,lateritic,poor,2,national,1,17.57,moderate,0.4617,0.9676,0,0,none,True,7,241.9,over_3days
DSR-00027,SEG-0050,landslide,397.9,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,2309,39,rock,True,7,11.6,6_24h
DSR-00103,SEG-0023,landslide,422.5,23.6,1061,mountain,weathered_rock,fair,2,national,0,27.48,moderate,0.546,1.0917,26370,155,debris,True,7,73.1,over_3days
DSR-01642,SEG-0001,flood,308.5,4.2,87,plain,alluvial,good,4,national,1,216.84,low,0.2231,0.0,0,0,none,True,7,50.7,1_3days
DSR-02277,SEG-0039,protest_blockade,136.0,21.4,36,hilly,lateritic,fair,2,national,7,41.19,moderate,0.4111,0.4613,0,0,none,True,7,23.4,6_24h
DSR-02069,SEG-0070,flood,692.6,17.5,123,hilly,lateritic,good,2,state,2,93.38,low,0.3544,0.1606,0,0,none,True,7,205.7,over_3days
DSR-00003,SEG-0037,landslide,477.3,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,1960,48,earth,True,7,13.0,6_24h
DSR-01838,SEG-0027,fallen_tree,160.5,33.3,1348,mountain,weathered_rock,fair,2,national,3,31.75,high,0.6513,1.5118,0,0,none,True,7,8.2,6_24h
DSR-00008,SEG-0029,landslide,381.3,21.4,1260,mountain,weathered_rock,good,2,national,3,44.14,moderate,0.5237,0.589,2513,23,debris,True,7,5.8,under_6h
DSR-00026,SEG-0059,landslide,541.1,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,2659,32,debris,True,7,15.5,6_24h
DSR-00023,SEG-0068,landslide,160.3,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,26054,95,rock,True,7,369.1,over_3days
DSR-01646,SEG-0029,accident_blockage,104.0,21.4,1260,mountain,weathered_rock,good,2,national,3,44.14,moderate,0.5237,0.589,0,0,none,True,7,3.8,under_6h
DSR-00078,SEG-0013,landslide,292.6,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,154,21,debris,True,7,1.0,under_6h
DSR-01985,SEG-0030,bridge_damage,221.3,33.9,642,mountain,weathered_rock,good,2,national,5,34.62,moderate,0.5294,0.751,0,0,none,True,7,481.7,over_3days
DSR-00160,SEG-0069,landslide,43.0,20.0,352,mountain,weathered_rock,poor,1,state,5,43.86,high,0.564,1.1628,15668,114,rock,True,7,150.2,over_3days
DSR-00163,SEG-0064,landslide,495.9,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,20203,53,earth,True,7,44.2,1_3days
DSR-01955,SEG-0059,protest_blockade,178.5,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,0,0,none,True,7,22.5,6_24h
DSR-00130,SEG-0026,landslide,516.7,31.7,1319,mountain,weathered_rock,fair,2,national,2,35.84,high,0.6286,1.3672,338,16,debris,True,7,1.0,under_6h
DSR-00052,SEG-0013,landslide,270.4,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,710,16,rock,True,7,2.8,under_6h
DSR-00076,SEG-0058,landslide,165.6,27.3,1002,mountain,weathered_rock,fair,2,national,3,55.82,high,0.626,0.842,610,30,debris,True,7,1.2,under_6h
DSR-00067,SEG-0052,landslide,593.0,37.0,1662,mountain,weathered_rock,poor,2,state,7,38.08,very_high,0.7503,2.2321,8626,62,rock,True,7,75.7,over_3days
DSR-02093,SEG-0037,flood,359.7,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,0,0,none,True,7,239.9,over_3days
DSR-02121,SEG-0054,fallen_tree,179.3,32.8,1727,mountain,weathered_rock,fair,2,state,4,16.34,high,0.6827,2.9376,0,0,none,True,7,41.9,1_3days
DSR-01952,SEG-0022,bridge_damage,194.7,22.3,1252,mountain,weathered_rock,fair,2,national,3,19.5,high,0.5848,1.641,0,0,none,True,7,147.4,over_3days
DSR-00029,SEG-0050,landslide,176.6,33.3,1250,mountain,weathered_rock,poor,1,national,4,14.76,very_high,0.7245,5.6233,3615,62,earth,True,7,7.2,6_24h
DSR-00132,SEG-0058,landslide,538.5,27.3,1002,mountain,weathered_rock,fair,2,national,3,55.82,high,0.626,0.842,38393,218,rock,True,8,227.9,over_3days
DSR-02251,SEG-0068,protest_blockade,123.4,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,0,0,none,True,8,43.6,1_3days
DSR-00123,SEG-0034,landslide,434.2,27.5,891,mountain,weathered_rock,poor,2,national,3,54.94,high,0.6405,1.0193,4111,38,rock,True,8,25.8,1_3days
DSR-00019,SEG-0056,landslide,552.7,13.0,259,hilly,lateritic,fair,2,national,2,94.3,low,0.3544,0.1273,1282,45,earth,True,8,1.3,under_6h
DSR-00105,SEG-0013,landslide,904.3,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,3340,65,debris,True,8,6.2,6_24h
DSR-01828,SEG-0002,accident_blockage,27.2,4.4,53,plain,alluvial,good,4,national,3,47.71,low,0.2701,0.021,0,0,none,True,8,13.8,6_24h
DSR-01712,SEG-0020,bridge_damage,138.9,15.5,450,hilly,lateritic,fair,2,national,1,33.37,moderate,0.4853,0.7492,0,0,none,True,8,605.6,over_3days
DSR-00096,SEG-0021,landslide,473.6,30.0,794,mountain,weathered_rock,fair,2,national,4,46.0,high,0.5592,0.7826,429,27,rock,True,8,2.0,under_6h
DSR-00114,SEG-0015,landslide,420.9,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,16801,142,rock,True,8,52.4,1_3days
DSR-00098,SEG-0015,landslide,120.6,28.7,701,mountain,weathered_rock,fair,2,national,4,75.53,high,0.6753,1.4431,1818,45,rock,True,8,8.1,6_24h
DSR-02186,SEG-0040,flood,486.2,11.0,60,hilly,lateritic,fair,2,national,0,29.41,moderate,0.3802,0.204,0,0,none,True,8,28.4,1_3days
DSR-00127,SEG-0059,landslide,65.5,35.4,1092,mountain,weathered_rock,fair,2,national,7,61.83,very_high,0.7049,1.3586,34660,68,rock,True,8,226.7,over_3days
DSR-02147,SEG-0014,fallen_tree,95.6,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,0,0,none,True,8,12.2,6_24h
DSR-01661,SEG-0008,protest_blockade,136.5,5.3,90,plain,alluvial,fair,4,national,0,36.12,low,0.3133,0.0277,0,0,none,True,8,28.7,1_3days
DSR-01657,SEG-0032,fallen_tree,120.9,37.8,1224,mountain,weathered_rock,fair,2,state,6,50.5,high,0.6374,1.1089,0,0,none,True,8,8.5,6_24h
DSR-00030,SEG-0014,landslide,62.2,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,9267,73,earth,True,8,9.8,6_24h
DSR-01705,SEG-0055,road_subsidence,325.5,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,0,0,none,True,8,552.2,over_3days
DSR-00158,SEG-0035,landslide,430.9,24.0,1216,mountain,weathered_rock,poor,2,national,1,49.37,high,0.6147,1.1951,52016,215,debris,True,8,74.4,over_3days
DSR-00145,SEG-0037,landslide,598.6,38.7,1405,mountain,weathered_rock,poor,2,state,3,68.38,high,0.691,0.9652,147,12,rock,True,8,1.0,under_6h
DSR-01832,SEG-0047,road_subsidence,382.3,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,0,0,none,True,8,215.1,over_3days
DSR-00112,SEG-0013,landslide,585.6,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,839,29,rock,True,8,1.8,under_6h
DSR-01882,SEG-0020,flood,408.0,15.5,450,hilly,lateritic,fair,2,national,1,33.37,moderate,0.4853,0.7492,0,0,none,True,8,98.1,over_3days
DSR-02231,SEG-0047,road_subsidence,342.8,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,0,0,none,True,8,91.2,over_3days
DSR-01979,SEG-0014,accident_blockage,22.6,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,0,0,none,True,8,28.8,1_3days
DSR-00063,SEG-0013,landslide,61.9,37.1,1496,mountain,weathered_rock,poor,2,national,5,35.74,very_high,0.7998,6.2115,169,11,earth,True,8,1.0,under_6h
DSR-02114,SEG-0067,fallen_tree,130.0,17.3,231,hilly,lateritic,fair,1,state,2,38.22,moderate,0.4483,0.5233,0,0,none,True,9,42.5,1_3days
DSR-00057,SEG-0014,landslide,115.7,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,47850,179,earth,True,9,103.4,over_3days
DSR-02274,SEG-0016,protest_blockade,157.4,3.8,24,plain,alluvial,good,2,national,4,19.48,low,0.2584,0.0513,0,0,none,True,9,5.1,under_6h
DSR-00094,SEG-0064,landslide,53.8,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,150,16,debris,True,9,1.0,under_6h
DSR-00035,SEG-0041,landslide,335.9,16.2,52,hilly,lateritic,good,2,national,2,45.87,low,0.3125,0.3052,1874,51,rock,True,9,4.9,under_6h
DSR-02144,SEG-0005,protest_blockade,168.1,2.7,57,plain,alluvial,good,4,national,2,97.15,low,0.2605,0.0206,0,0,none,True,9,20.1,6_24h
DSR-00060,SEG-0062,landslide,314.5,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,7426,96,debris,True,9,5.5,under_6h
DSR-00131,SEG-0014,landslide,372.7,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,10250,87,rock,True,9,27.1,1_3days
DSR-00049,SEG-0064,landslide,249.9,27.6,2731,mountain,weathered_rock,poor,1,national,1,66.29,very_high,0.7556,1.8706,1004,25,earth,True,9,3.3,under_6h
DSR-00075,SEG-0055,landslide,35.8,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,1683,47,rock,True,9,8.5,6_24h
DSR-01655,SEG-0038,accident_blockage,20.6,1.8,16,plain,alluvial,good,2,national,3,66.77,very_low,0.2089,0.03,0,0,none,True,9,9.8,6_24h
DSR-02139,SEG-0069,fallen_tree,154.5,20.0,352,mountain,weathered_rock,poor,1,state,5,43.86,high,0.564,1.1628,0,0,none,True,9,43.5,1_3days
DSR-00001,SEG-0014,landslide,759.8,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,7475,71,rock,True,9,10.4,6_24h
DSR-00153,SEG-0032,landslide,613.8,37.8,1224,mountain,weathered_rock,fair,2,state,6,50.5,high,0.6374,1.1089,5549,70,debris,True,9,21.5,6_24h
DSR-00047,SEG-0055,landslide,212.9,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,484,12,rock,True,9,4.1,under_6h
DSR-01782,SEG-0065,accident_blockage,142.0,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,0,0,none,True,9,46.0,1_3days
DSR-00151,SEG-0055,landslide,228.8,37.5,1780,mountain,weathered_rock,fair,2,state,3,9.73,very_high,0.7143,6.5776,9379,77,debris,True,9,22.4,6_24h
DSR-00164,SEG-0048,landslide,356.0,32.0,1650,mountain,weathered_rock,fair,2,national,0,15.63,high,0.6747,3.263,4567,47,debris,True,9,6.1,6_24h
DSR-00066,SEG-0065,landslide,134.6,24.2,1060,mountain,weathered_rock,fair,1,state,3,49.23,high,0.6127,1.1781,1177,42,debris,True,10,4.7,under_6h
DSR-00129,SEG-0024,landslide,598.6,22.5,923,mountain,weathered_rock,fair,2,national,4,51.06,high,0.5596,0.5484,2641,39,rock,True,10,6.6,6_24h
DSR-00124,SEG-0014,landslide,693.6,24.6,1438,mountain,weathered_rock,fair,2,national,5,33.95,high,0.671,3.7408,1214,44,debris,True,10,2.0,under_6h
DSR-01635,SEG-0070,flood,402.4,17.5,123,hilly,lateritic,good,2,state,2,93.38,low,0.3544,0.1606,0,0,none,True,10,184.8,over_3days
DSR-01660,SEG-0017,bridge_damage,47.2,6.0,54,plain,alluvial,good,2,national,0,111.76,low,0.2804,0.0358,0,0,none,True,10,663.5,over_3days
DSR-02243,SEG-0047,flood,472.0,27.7,1650,mountain,weathered_rock,fair,2,national,4,6.8,high,0.6569,10.2941,0,0,none,True,10,36.5,1_3days
DSR-00148,SEG-0051,landslide,552.3,40.0,1250,mountain,weathered_rock,good,1,national,4,14.39,very_high,0.7423,3.0577,13266,136,debris,True,10,25.6,1_3days
DSR-00090,SEG-0030,landslide,232.8,33.9,642,mountain,weathered_rock,good,2,national,5,34.62,moderate,0.5294,0.751,37262,114,rock,True,10,88.8,over_3days
DSR-02255,SEG-0057,maintenance,22.0,21.7,259,hilly,lateritic,fair,2,national,0,52.2,moderate,0.4661,0.4789,0,0,none,True,12,51.5,1_3days
DSR-01784,SEG-0016,maintenance,29.5,3.8,24,plain,alluvial,good,2,national,4,19.48,low,0.2584,0.0513,0,0,none,True,12,57.9,1_3days
DSR-00004,SEG-0027,landslide,364.8,33.3,1348,mountain,weathered_rock,fair,2,national,3,31.75,high,0.6513,1.5118,1599,38,rock,True,1,1.5,under_6h
DSR-01946,SEG-0058,maintenance,11.9,27.3,1002,mountain,weathered_rock,fair,2,national,3,55.82,high,0.626,0.842,0,0,none,True,1,40.3,1_3days
DSR-01972,SEG-0010,flood,427.9,4.2,102,plain,alluvial,fair,4,national,1,60.63,low,0.3066,0.0165,0,0,none,True,1,56.4,1_3days
DSR-02087,SEG-0068,road_subsidence,100.8,40.7,433,mountain,weathered_rock,poor,1,state,4,66.95,high,0.6745,1.0157,0,0,none,True,2,257.8,over_3days
DSR-01883,SEG-0004,maintenance,14.1,3.7,55,plain,alluvial,good,4,national,0,44.45,low,0.2316,0.1125,0,0,none,True,2,12.8,6_24h
DSR-00071,SEG-0031,landslide,542.4,26.1,850,mountain,weathered_rock,fair,2,state,7,59.58,moderate,0.516,0.621,6152,44,rock,True,2,19.5,6_24h
DSR-02020,SEG-0036,maintenance,23.1,38.8,1084,mountain,weathered_rock,good,2,national,0,48.29,high,0.5956,0.8905,0,0,none,True,2,62.8,1_3days
DSR-02289,SEG-0004,maintenance,10.1,3.7,55,plain,alluvial,good,4,national,0,44.45,low,0.2316,0.1125,0,0,none,True,2,4.6,under_6h
DSR-02047,SEG-0018,maintenance,24.2,10.2,139,hilly,lateritic,poor,2,national,6,83.56,moderate,0.3867,0.2513,0,0,none,True,2,44.6,1_3days
DSR-01860,SEG-0062,maintenance,31.1,28.8,1247,mountain,weathered_rock,good,1,national,0,44.74,high,0.56,1.0729,0,0,none,True,3,34.1,1_3days
DSR-02165,SEG-0017,maintenance,19.9,6.0,54,plain,alluvial,good,2,national,0,111.76,low,0.2804,0.0358,0,0,none,True,3,17.3,6_24h
