landslide_id,event_date,fiscal_period,state_code,district_id,district_name,segment_id,highway_code,latitude,longitude,landslide_type,trigger,material,lithology,land_use,volume_m3,runout_distance_m,slope_angle_deg,elevation_m,rainfall_72h_mm,fatalities,injuries,houses_damaged,road_blocked,blockage_duration_hours,severity,source
LS-00011,2016-07-28,2015-16,MZ,D-MZ-01,Aizawl,SEG-0035,NH-306,23.65578,92.74748,debris_flow,rainfall,debris,phyllite,road_cut,12706,67,26.9,1216,368.8,0,0,2,True,19.2,moderate,GSI-NLSM
LS-00012,2015-09-21,2015-16,AS,D-AS-11,Sivasagar,SEG-0010,NH-27,27.35088,94.83649,rotational_slide,rainfall,earth,laterite,barren,8359,103,16.9,102,211.2,5,10,4,False,0.0,catastrophic,PWD-field
LS-00013,2016-07-22,2015-16,AR,D-AR-01,Papum Pare,SEG-0058,NH-13,27.32401,93.71444,rockfall,rainfall,rock,gneiss,agriculture,4194,67,28.6,1002,499.6,0,0,5,False,0.0,moderate,GSI-NLSM
LS-00014,2015-02-28,2015-16,NL,D-NL-01,Kohima,SEG-0025,NH-29,25.92518,94.20103,mudslide,rainfall,earth,sandstone_shale,agriculture,1243,16,43.6,1378,168.2,1,2,2,False,0.0,major,PWD-field
LS-00015,2016-06-22,2015-16,NL,D-NL-01,Kohima,SEG-0022,NH-2,25.61786,94.11722,rotational_slide,rainfall,earth,phyllite,agriculture,359,17,35.5,1252,593.5,0,0,0,True,1.0,minor,NDMA
LS-00016,2015-07-11,2015-16,MN,D-MN-04,Tamenglong,SEG-0029,NH-37,24.94405,93.43573,debris_flow,rainfall,debris,sandstone_shale,jhum_cultivation,2513,23,37.3,1260,381.3,0,0,0,True,5.8,moderate,GSI-NLSM
LS-00017,2015-07-22,2015-16,AR,D-AR-06,West Siang,SEG-0060,NH-13,28.01112,94.33384,translational_slide,rainfall,rock,schist,barren,14145,67,47.3,620,128.3,0,0,2,False,0.0,moderate,GSI-NLSM
LS-00018,2016-06-17,2015-16,SK,D-SK-03,Namchi,SEG-0053,NH-510,27.15325,88.34851,translational_slide,rainfall,rock,schist,barren,269,8,31.7,1675,609.1,0,0,5,True,3.7,minor,SDMA
LS-00019,2015-06-15,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.75839,93.90751,translational_slide,rainfall,rock,phyllite,jhum_cultivation,14027,122,31.6,850,410.3,0,0,1,True,190.5,major,GSI-NLSM
LS-00020,2016-07-09,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.61553,91.89815,debris_flow,rainfall,debris,quartzite,forest,1719,19,53.1,1496,342.8,0,0,4,True,2.1,minor,GSI-NLSM
LS-00021,2016-06-09,2015-16,ML,D-ML-02,West Jaintia Hills,SEG-0015,NH-6,25.09953,92.44447,debris_flow,rainfall,debris,sandstone_shale,agriculture,5638,42,37.9,701,854.2,0,0,2,True,4.2,moderate,PWD-field
LS-00022,2015-05-18,2015-16,AS,D-AS-10,Bongaigaon,SEG-0018,NH-27-SPUR,25.97501,90.48938,debris_flow,rainfall,debris,sandstone_shale,jhum_cultivation,27353,146,8.5,139,472.2,0,0,23,True,15.2,major,GSI-NLSM
LS-00023,2016-07-12,2015-16,MZ,D-MZ-04,Kolasib,SEG-0034,NH-306,23.86171,92.70289,rockfall,rainfall,rock,schist,agriculture,1059,23,34.6,891,299.3,0,0,0,True,8.6,moderate,NDMA
LS-00024,2016-06-24,2015-16,SK,D-SK-01,Gangtok,SEG-0047,NH-10,27.20096,88.52334,translational_slide,rainfall,rock,schist,settlement,1046,21,30.0,1650,351.5,0,0,6,False,0.0,minor,PWD-field
LS-00025,2015-06-11,2015-16,SK,D-SK-03,Namchi,SEG-0054,NH-510,27.21444,88.3062,rotational_slide,rainfall,earth,gneiss,jhum_cultivation,704,30,45.6,1727,237.1,0,0,2,True,2.9,minor,NDMA
LS-00026,2016-09-28,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.65868,93.84561,translational_slide,anthropogenic_cut,rock,quartzite,settlement,307,21,37.4,850,8.4,0,0,0,True,1.9,minor,NDMA
LS-00027,2016-06-02,2015-16,AR,D-AR-03,West Kameng,SEG-0064,NH-13-W,27.35093,92.29588,translational_slide,rainfall,rock,schist,agriculture,6182,86,36.8,2731,515.4,0,0,0,False,0.0,moderate,GSI-NLSM
LS-00028,2015-07-06,2015-16,AS,D-AS-08,Karbi Anglong,SEG-0068,NH-27-DH,25.68152,93.1529,translational_slide,rainfall,rock,schist,settlement,985,31,45.0,433,414.5,0,0,2,False,0.0,minor,SDMA
LS-00029,2016-07-09,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.57623,93.81731,rockfall,rainfall,rock,quartzite,forest,962,29,27.1,850,303.1,0,0,1,True,7.1,moderate,NDMA
LS-00030,2016-11-20,2015-16,AR,D-AR-03,West Kameng,SEG-0064,NH-13-W,27.54657,91.93668,debris_flow,rainfall,debris,sandstone_shale,jhum_cultivation,865,24,34.0,2731,210.6,0,0,6,True,1.8,minor,GSI-NLSM
LS-00031,2015-03-08,2015-16,AR,D-AR-09,Dibang Valley,SEG-0066,NH-315,28.04348,95.97011,debris_flow,rainfall,debris,schist,barren,97,8,47.4,1099,556.9,0,0,2,False,0.0,minor,PWD-field
LS-00032,2015-08-05,2015-16,AS,D-AS-09,Sonitpur,SEG-0056,NH-15,26.79857,93.10483,mudslide,rainfall,earth,sandstone_shale,road_cut,1282,45,20.5,259,552.7,0,0,6,True,1.3,minor,GSI-NLSM
LS-00033,2016-09-01,2015-16,MZ,D-MZ-05,Serchhip,SEG-0036,NH-306,23.24408,92.82649,debris_flow,rainfall,debris,quartzite,jhum_cultivation,11881,49,52.6,1084,460.2,0,0,1,False,0.0,moderate,SDMA
LS-00034,2015-05-07,2015-16,MN,D-MN-04,Tamenglong,SEG-0030,NH-37,24.8262,92.84774,rotational_slide,rainfall,earth,gneiss,jhum_cultivation,4272,41,43.2,642,450.8,0,0,1,True,10.9,moderate,GSI-NLSM
LS-00035,2016-09-18,2015-16,AS,D-AS-08,Karbi Anglong,SEG-0068,NH-27-DH,25.39663,93.06835,translational_slide,rainfall,rock,sandstone_shale,forest,1549,20,54.6,433,477.4,0,0,0,True,10.6,moderate,PWD-field
LS-00036,2016-06-12,2015-16,AS,D-AS-07,Dima Hasao,SEG-0069,NH-27-DH,24.97719,92.87757,rockfall,rainfall,rock,quartzite,agriculture,1317,52,25.2,352,173.7,0,0,2,True,23.2,moderate,SDMA
LS-00037,2015-07-12,2015-16,AS,D-AS-08,Karbi Anglong,SEG-0068,NH-27-DH,25.38466,93.07549,rockfall,rainfall,rock,sandstone_shale,barren,26054,95,53.1,433,160.3,2,10,6,True,369.1,major,GSI-NLSM
LS-00038,2016-05-04,2015-16,ML,D-ML-02,West Jaintia Hills,SEG-0015,NH-6,24.94084,92.53995,rockfall,rainfall,rock,sandstone_shale,jhum_cultivation,2667,69,41.9,701,744.4,0,0,5,True,7.2,moderate,GSI-NLSM
LS-00039,2016-06-16,2015-16,MZ,D-MZ-01,Aizawl,SEG-0035,NH-306,23.49885,92.79278,debris_flow,rainfall,debris,quartzite,agriculture,6468,59,23.8,1216,385.0,0,0,3,False,0.0,moderate,SDMA
LS-00040,2015-06-28,2015-16,AR,D-AR-06,West Siang,SEG-0060,NH-13,28.14059,94.74643,rockfall,toe_erosion,rock,schist,forest,5390,54,38.6,620,30.4,0,0,3,True,23.0,moderate,SDMA
LS-00041,2015-07-12,2015-16,AR,D-AR-04,Lower Subansiri,SEG-0059,NH-13,27.94726,94.18276,debris_flow,rainfall,debris,quartzite,jhum_cultivation,2659,32,49.6,1092,541.1,0,0,3,True,15.5,moderate,GSI-NLSM
LS-00042,2015-07-16,2015-16,AS,D-AS-08,Karbi Anglong,SEG-0068,NH-27-DH,25.66898,93.15243,debris_flow,rainfall,debris,quartzite,jhum_cultivation,4022,42,49.7,433,123.7,0,0,3,False,0.0,moderate,PWD-field
LS-00043,2015-07-02,2015-16,SK,D-SK-02,Mangan,SEG-0050,NH-310,27.55622,88.59056,rockfall,rainfall,rock,gneiss,jhum_cultivation,2309,39,37.2,1250,397.9,0,0,1,True,11.6,moderate,GSI-NLSM
LS-00044,2015-06-24,2015-16,TR,D-TR-02,North Tripura,SEG-0042,NH-8,24.32314,92.03327,rotational_slide,seismic,earth,phyllite,jhum_cultivation,498,30,16.4,45,121.9,0,0,1,True,1.0,minor,NDMA
LS-00045,2016-07-12,2015-16,SK,D-SK-03,Namchi,SEG-0054,NH-510,27.18605,88.33258,debris_flow,rainfall,debris,schist,jhum_cultivation,1617,52,29.2,1727,591.7,0,0,2,False,0.0,minor,NDMA
LS-00046,2015-07-25,2015-16,SK,D-SK-02,Mangan,SEG-0050,NH-310,27.54221,88.55911,mudslide,rainfall,earth,phyllite,settlement,3615,62,39.4,1250,176.6,0,0,1,True,7.2,moderate,PWD-field
LS-00047,2015-08-15,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.46748,92.14576,rotational_slide,anthropogenic_cut,earth,quartzite,forest,9267,73,39.7,1438,62.2,0,0,2,True,9.8,moderate,GSI-NLSM
LS-00048,2016-08-25,2015-16,NL,D-NL-01,Kohima,SEG-0022,NH-2,25.5811,94.12301,earth_flow,rainfall,earth,sandstone_shale,jhum_cultivation,468,18,32.1,1252,520.0,0,0,4,True,1.0,minor,SDMA
LS-00049,2016-05-17,2015-16,MN,D-MN-01,Imphal West,SEG-0032,NH-2-S,24.96243,94.20461,debris_flow,rainfall,debris,phyllite,barren,1276,27,50.3,1224,543.9,0,0,3,False,0.0,minor,PWD-field
LS-00050,2016-08-08,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.6675,93.86406,earth_flow,rainfall,earth,quartzite,settlement,10424,63,32.8,850,452.4,0,0,6,False,0.0,moderate,NDMA
LS-00051,2016-09-26,2015-16,SK,D-SK-01,Gangtok,SEG-0052,NH-510,27.28782,88.54599,debris_flow,rainfall,debris,quartzite,forest,54,11,40.1,1662,555.8,0,0,1,True,1.0,minor,GSI-NLSM
LS-00052,2016-05-20,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.53025,92.02733,rockfall,rainfall,rock,schist,barren,50675,92,38.2,1438,356.3,0,0,4,True,103.2,major,NDMA
LS-00053,2015-05-12,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.4075,93.72671,debris_flow,rainfall,debris,phyllite,settlement,366,29,41.1,850,579.1,0,0,6,False,0.0,minor,NDMA
LS-00054,2016-06-04,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.70691,91.89362,earth_flow,rainfall,earth,sandstone_shale,forest,16250,102,41.7,1496,498.5,0,0,0,False,0.0,moderate,GSI-NLSM
LS-00055,2015-06-21,2015-16,AS,D-AS-06,Cachar,SEG-0033,NH-306,24.50947,92.72803,debris_flow,rainfall,debris,laterite,barren,4709,54,15.8,337,427.5,0,0,5,False,0.0,moderate,NDMA
LS-00056,2016-05-25,2015-16,NL,D-NL-03,Mokokchung,SEG-0027,NH-29,26.30324,94.72923,translational_slide,rainfall,rock,phyllite,jhum_cultivation,32,5,36.5,1348,556.1,0,0,4,False,0.0,minor,SDMA
LS-00057,2016-07-20,2015-16,MZ,D-MZ-01,Aizawl,SEG-0035,NH-306,23.43471,92.81584,rockfall,rainfall,rock,phyllite,agriculture,1067,42,27.5,1216,335.3,0,0,4,True,5.9,minor,NDMA
LS-00058,2015-09-10,2015-16,TR,D-TR-03,Dhalai,SEG-0041,NH-8,23.98738,91.86764,translational_slide,rainfall,rock,phyllite,forest,1874,51,13.3,52,335.9,0,0,0,True,4.9,minor,PWD-field
LS-00059,2015-06-04,2015-16,SK,D-SK-01,Gangtok,SEG-0048,NH-10,27.24115,88.51607,rotational_slide,rainfall,earth,gneiss,barren,2462,24,41.9,1650,172.4,0,0,0,True,6.6,moderate,NDMA
LS-00060,2015-06-05,2015-16,ML,D-ML-04,East Garo Hills,SEG-0020,NH-27-SPUR,25.45768,90.62637,rockfall,toe_erosion,rock,siltstone,settlement,1115,36,22.2,450,100.2,0,0,6,True,2.5,minor,GSI-NLSM
LS-00061,2016-07-05,2015-16,NL,D-NL-04,Wokha,SEG-0026,NH-29,26.10693,94.28409,debris_flow,rainfall,debris,quartzite,road_cut,829,22,43.7,1319,563.3,0,0,0,True,3.8,minor,GSI-NLSM
LS-00062,2015-06-18,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.53001,93.78846,debris_flow,rainfall,debris,schist,road_cut,856,27,35.9,850,293.9,0,0,1,True,2.1,minor,GSI-NLSM
LS-00063,2016-04-21,2015-16,AR,D-AR-07,Lohit,SEG-0067,NH-315,27.75419,95.98381,translational_slide,rainfall,rock,laterite,road_cut,747,41,19.0,231,387.2,0,0,6,False,0.0,minor,SDMA
LS-00064,2015-05-04,2015-16,TR,D-TR-04,South Tripura,SEG-0038,NH-8,23.51209,91.38483,translational_slide,rainfall,rock,siltstone,forest,447,13,8,16,590.9,0,0,0,True,1.0,minor,GSI-NLSM
LS-00065,2015-03-27,2015-16,AS,D-AS-07,Dima Hasao,SEG-0069,NH-27-DH,25.01534,92.91394,debris_flow,rainfall,debris,gneiss,road_cut,5867,67,35.6,352,427.8,5,15,5,True,18.9,catastrophic,PWD-field
LS-00066,2016-08-18,2015-16,AR,D-AR-07,Lohit,SEG-0067,NH-315,27.76248,95.99568,mudslide,rainfall,earth,laterite,forest,1663,36,26.3,231,461.1,0,0,3,True,5.3,minor,SDMA
LS-00067,2016-05-07,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.50837,92.06655,debris_flow,rainfall,debris,gneiss,settlement,2558,68,39.7,1438,536.0,0,0,6,True,3.6,moderate,NDMA
LS-00068,2015-04-13,2015-16,SK,D-SK-01,Gangtok,SEG-0049,NH-310,27.46,88.5585,rotational_slide,anthropogenic_cut,earth,schist,jhum_cultivation,1406,43,30.5,1450,68.6,0,0,5,False,0.0,minor,SDMA
LS-00069,2016-05-24,2015-16,ML,D-ML-04,East Garo Hills,SEG-0020,NH-27-SPUR,25.27617,90.62406,rotational_slide,toe_erosion,earth,phyllite,barren,204,15,23.9,450,63.7,0,0,5,True,1.0,minor,PWD-field
LS-00070,2016-06-04,2015-16,MZ,D-MZ-01,Aizawl,SEG-0037,NH-302,23.6551,92.90541,translational_slide,rainfall,rock,sandstone_shale,agriculture,3898,56,48.8,1405,184.8,0,0,1,True,33.6,moderate,NDMA
LS-00071,2015-08-05,2015-16,AS,D-AS-07,Dima Hasao,SEG-0069,NH-27-DH,25.12801,92.99061,debris_flow,rainfall,debris,phyllite,jhum_cultivation,1294,30,16.2,352,166.4,0,0,5,False,0.0,minor,SDMA
LS-00072,2015-03-02,2015-16,SK,D-SK-01,Gangtok,SEG-0052,NH-510,27.31477,88.56639,rotational_slide,rainfall,earth,quartzite,settlement,1842,52,35.2,1662,197.9,0,0,0,True,3.0,minor,NDMA
LS-00073,2015-09-23,2015-16,SK,D-SK-04,Gyalshing,SEG-0055,NH-510,27.30699,88.24914,rockfall,rainfall,rock,phyllite,agriculture,484,12,35.6,1780,212.9,0,0,0,True,4.1,minor,GSI-NLSM
LS-00074,2016-10-14,2015-16,MZ,D-MZ-01,Aizawl,SEG-0035,NH-306,23.66141,92.73159,rockfall,rainfall,rock,sandstone_shale,settlement,2619,24,27.0,1216,564.7,0,0,0,True,4.1,moderate,GSI-NLSM
LS-00075,2016-07-06,2015-16,AR,D-AR-03,West Kameng,SEG-0064,NH-13-W,27.3152,92.33021,translational_slide,rainfall,rock,phyllite,road_cut,2312,61,27.7,2731,215.1,0,0,3,False,0.0,moderate,PWD-field
LS-00076,2015-09-16,2015-16,AR,D-AR-03,West Kameng,SEG-0064,NH-13-W,27.3224,92.33386,mudslide,rainfall,earth,quartzite,road_cut,1004,25,33.0,2731,249.9,0,0,3,True,3.3,minor,SDMA
LS-00077,2015-06-24,2015-16,SK,D-SK-02,Mangan,SEG-0050,NH-310,27.54829,88.58254,debris_flow,rainfall,debris,schist,barren,889,44,38.4,1250,461.8,0,0,3,True,3.0,minor,GSI-NLSM
LS-00078,2015-02-24,2015-16,AS,D-AS-02,Nagaon,SEG-0070,NH-36,26.3011,92.76708,mudslide,toe_erosion,earth,laterite,forest,141,10,27.6,123,88.4,1,3,1,True,1.0,major,NDMA
LS-00079,2015-07-17,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.78361,91.87846,translational_slide,rainfall,rock,sandstone_shale,jhum_cultivation,710,16,33.3,1496,270.4,0,0,6,True,2.8,minor,GSI-NLSM
LS-00080,2016-07-27,2015-16,AS,D-AS-07,Dima Hasao,SEG-0069,NH-27-DH,25.03254,92.91926,rotational_slide,toe_erosion,earth,schist,road_cut,15148,48,23.9,352,71.6,0,0,5,True,117.3,major,GSI-NLSM
LS-00081,2016-07-11,2015-16,SK,D-SK-01,Gangtok,SEG-0048,NH-10,27.25394,88.51726,debris_flow,rainfall,debris,sandstone_shale,road_cut,4869,77,37.8,1650,555.5,0,0,0,True,13.9,moderate,NDMA
LS-00082,2016-04-21,2015-16,AS,D-AS-08,Karbi Anglong,SEG-0068,NH-27-DH,25.5086,93.10589,debris_flow,rainfall,debris,gneiss,agriculture,963,21,53.9,433,434.9,0,0,4,True,2.2,minor,GSI-NLSM
LS-00083,2015-03-21,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.49579,92.06773,mudslide,rainfall,earth,quartzite,road_cut,522,14,27.6,1438,445.9,0,0,5,True,1.0,minor,SDMA
LS-00084,2015-09-05,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.48551,92.13231,rotational_slide,seismic,earth,schist,settlement,47850,179,28.7,1438,115.7,0,0,8,True,103.4,major,PWD-field
LS-00085,2016-03-23,2015-16,TR,D-TR-03,Dhalai,SEG-0041,NH-8,24.24732,91.99222,debris_flow,rainfall,debris,phyllite,agriculture,669,35,15.6,52,379.8,0,0,2,True,1.0,minor,SDMA
LS-00086,2016-06-02,2015-16,AR,D-AR-01,Papum Pare,SEG-0058,NH-13,27.26369,93.69114,debris_flow,seismic,debris,phyllite,agriculture,2470,25,38.3,1002,85.8,0,0,5,True,8.5,moderate,NDMA
LS-00087,2015-05-17,2015-16,NL,D-NL-01,Kohima,SEG-0025,NH-29,26.02901,94.236,rockfall,rainfall,rock,sandstone_shale,barren,2158,27,48.8,1378,391.9,0,0,0,False,0.0,moderate,SDMA
LS-00088,2015-09-15,2015-16,AS,D-AS-09,Sonitpur,SEG-0062,NH-13-W,26.82019,92.72835,debris_flow,rainfall,debris,sandstone_shale,jhum_cultivation,7426,96,35.6,1247,314.5,0,0,3,True,5.5,moderate,SDMA
LS-00089,2016-07-06,2015-16,SK,D-SK-01,Gangtok,SEG-0049,NH-310,27.45926,88.56364,debris_flow,toe_erosion,debris,phyllite,forest,118,6,23.3,1450,87.6,0,0,4,True,1.0,minor,GSI-NLSM
LS-00090,2016-06-01,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.70135,91.88319,debris_flow,rainfall,debris,sandstone_shale,barren,1855,39,49.3,1496,886.7,0,0,4,True,3.8,minor,GSI-NLSM
LS-00091,2016-08-26,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.85187,91.88631,debris_flow,anthropogenic_cut,debris,sandstone_shale,barren,8048,56,37.4,1496,130.8,0,0,1,False,0.0,moderate,GSI-NLSM
LS-00092,2015-08-27,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.72153,91.88884,mudslide,anthropogenic_cut,earth,schist,road_cut,169,11,48.3,1496,61.9,0,0,3,True,1.0,minor,GSI-NLSM
LS-00093,2016-08-17,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.62695,91.88326,rockfall,rainfall,rock,schist,jhum_cultivation,3614,34,52.6,1496,806.5,0,0,6,True,17.0,moderate,PWD-field
LS-00094,2015-04-10,2015-16,MZ,D-MZ-04,Kolasib,SEG-0034,NH-306,24.17064,92.68264,debris_flow,rainfall,debris,gneiss,forest,674,28,29.9,891,214.7,0,0,1,True,1.3,minor,GSI-NLSM
LS-00095,2016-07-25,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.62938,91.88187,debris_flow,rainfall,debris,quartzite,agriculture,21414,103,51.2,1496,450.6,0,0,2,False,0.0,moderate,GSI-NLSM
LS-00096,2015-10-04,2015-16,AR,D-AR-05,East Siang,SEG-0065,NH-315,28.12638,95.75218,debris_flow,rainfall,debris,quartzite,settlement,1177,42,36.2,1060,134.6,0,0,3,True,4.7,minor,GSI-NLSM
LS-00097,2015-04-04,2015-16,AR,D-AR-09,Dibang Valley,SEG-0066,NH-315,28.05286,95.95889,rockfall,toe_erosion,rock,schist,forest,659,38,53.5,1099,43.2,0,0,2,False,0.0,minor,GSI-NLSM
LS-00098,2016-06-28,2015-16,SK,D-SK-03,Namchi,SEG-0054,NH-510,27.21666,88.32539,translational_slide,anthropogenic_cut,rock,schist,road_cut,38,10,41.0,1727,132.6,0,0,2,False,0.0,minor,NDMA
LS-00099,2015-07-21,2015-16,SK,D-SK-01,Gangtok,SEG-0052,NH-510,27.18403,88.40083,rockfall,rainfall,rock,quartzite,barren,8626,62,39.4,1662,593.0,0,0,2,True,75.7,major,GSI-NLSM
LS-00100,2016-06-28,2015-16,AR,D-AR-01,Papum Pare,SEG-0058,NH-13,27.27491,93.69712,rockfall,rainfall,rock,gneiss,settlement,4125,58,39.5,1002,281.6,0,0,4,False,0.0,moderate,GSI-NLSM
LS-00101,2016-08-01,2015-16,NL,D-NL-01,Kohima,SEG-0022,NH-2,25.57953,94.12359,rockfall,rainfall,rock,schist,jhum_cultivation,4846,69,21.5,1252,442.6,0,0,5,True,18.4,moderate,GSI-NLSM
LS-00102,2016-06-13,2015-16,WB,D-WB-01,Siliguri,SEG-0046,NH-10,27.09054,88.49871,debris_flow,anthropogenic_cut,debris,phyllite,road_cut,3007,56,49.1,886,91.4,0,0,2,False,0.0,moderate,SDMA
LS-00103,2016-07-11,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0013,NH-6,25.86324,91.88067,rockfall,rainfall,rock,sandstone_shale,settlement,3637,73,52.6,1496,450.9,0,0,6,True,22.9,moderate,PWD-field
LS-00104,2016-05-23,2015-16,ML,D-ML-01,East Khasi Hills,SEG-0014,NH-6,25.49717,92.08686,debris_flow,rainfall,debris,schist,jhum_cultivation,2518,68,26.5,1438,881.9,0,0,4,True,4.4,moderate,SDMA
LS-00105,2016-08-26,2015-16,AR,D-AR-05,East Siang,SEG-0065,NH-315,28.10519,95.57663,translational_slide,rainfall,rock,gneiss,agriculture,407,21,36.8,1060,405.8,0,0,6,False,0.0,minor,NDMA
LS-00106,2016-02-12,2015-16,MN,D-MN-02,Churachandpur,SEG-0031,NH-2-S,24.51754,93.76714,rockfall,rainfall,rock,gneiss,agriculture,6152,44,34.9,850,542.4,0,0,3,True,19.5,moderate,PWD-field
LS-00107,2016-06-17,2015-16,TR,D-TR-01,West Tripura,SEG-0039,NH-8,23.96876,91.46829,mudslide,rainfall,earth,laterite,forest,958,15,30.1,36,219.9,2,6,1,False,0.0,major,SDMA
LS-00108,2016-08-15,2015-16,SK,D-SK-01,Gangtok,SEG-0048,NH-10,27.26374,88.52677,rockfall,seismic,rock,quartzite,road_cut,913,16,34.8,1650,15.6,0,0,4,False,0.0,minor,GSI-NLSM
LS-00109,2016-09-09,2015-16,MZ,D-MZ-01,Aizawl,SEG-0037,NH-302,23.60997,92.99725,debris_flow,rainfall,debris,gneiss,settlement,9138,54,49.3,1405,549.9,0,0,3,False,0.0,moderate,GSI-NLSM
LS-00110,2016-05-08,2015-16,MN,D-MN-01,Imphal West,SEG-0028,NH-37,24.89863,93.7372,debris_flow,toe_erosion,debris,phyllite,agriculture,35521,177,36.2,1023,77.1,0,0,14,True,134.8,major,GSI-NLSM
LS-00111,2016-06-17,2015-16,AR,D-AR-03,West Kameng,SEG-0063,NH-13-W,27.18594,92.49332,debris_flow,toe_erosion,debris,gneiss,jhum_cultivation,2050,32,39.4,2415,29.6,0,0,6,True,6.4,moderate,PWD-field
LS-00112,2016-06-25,2015-16,AS,D-AS-08,Karbi Anglong,SEG-0068,NH-27-DH,25.63367,93.14438,mudslide,rainfall,earth,schist,settlement,7109,45,52.3,433,445.2,0,0,2,False,0.0,moderate,SDMA
LS-00113,2015-08-22,2015-16,AR,D-AR-05,East Siang,SEG-0065,NH-315,28.10502,95.69303,rotational_slide,rainfall,earth,phyllite,forest,939,43,23.8,1060,432.1,0,0,2,False,0.0,minor,SDMA
LS-00114,2016-06-19,2015-16,ML,D-ML-02,West Jaintia Hills,SEG-0015,NH-6,24.99939,92.49756,debris_flow,rainfall,debris,gneiss,settlement,15102,68,31.6,701,193.2,0,0,3,True,25.9,moderate,GSI-NLSM
