district_id,district_name,state_code,obs_date,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_kmph,source
D-AS-01,Kamrup Metropolitan,AS,2026-06-14,17.4,27.3,19.1,64,12.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-15,11.4,29.2,19.7,66,5.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-16,13.8,30.9,22.8,74,20.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-17,21.8,30.4,23.8,70,24.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-18,11.9,31.5,23.7,69,10.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-19,8.6,30.0,23.2,61,8.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-20,23.2,30.1,22.5,70,7.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-21,14.6,28.4,21.0,72,12.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-22,54.0,30.4,23.9,97,13.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-23,42.1,29.0,20.3,86,18.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-24,34.4,28.1,22.5,78,4.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-25,20.1,28.0,21.9,72,19.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-26,13.8,28.7,23.2,64,7.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-27,0.4,30.4,24.0,65,15.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-28,3.3,32.4,24.9,66,15.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-29,11.6,28.1,22.8,73,13.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-06-30,10.6,27.5,19.4,60,5.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-01,8.8,33.0,27.4,68,16.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-02,6.5,30.2,22.9,62,22.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-03,8.8,30.8,22.8,68,24.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-04,6.1,31.1,25.3,58,3.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-05,88.5,28.5,23.3,99,8.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-06,56.7,26.7,20.5,95,21.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-07,48.0,31.2,25.2,87,7.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-08,7.7,27.9,22.6,68,16.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-09,26.6,29.4,22.1,74,11.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-10,15.6,29.6,21.6,75,19.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-11,0.7,28.6,20.2,64,16.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-12,96.8,29.0,20.2,99,14.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-13,43.2,28.1,18.1,88,21.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-14,60.3,29.0,22.0,98,4.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-15,34.0,29.1,21.6,85,11.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-16,1.1,27.7,21.4,54,20.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-17,23.8,26.8,17.5,75,3.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-18,17.9,29.9,22.7,65,8.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-19,8.3,32.3,24.9,58,17.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-20,20.5,28.7,23.6,72,7.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-21,3.3,32.8,24.6,56,24.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-22,20.3,29.4,22.0,72,13.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-23,5.5,30.7,22.0,57,3.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-24,24.6,28.8,19.9,72,2.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-25,24.1,30.3,22.0,80,12.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-26,9.6,31.6,24.7,71,22.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-27,6.9,29.4,20.1,62,9.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-28,26.3,29.0,19.1,81,17.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-29,27.8,27.5,17.7,76,4.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-30,2.9,32.6,27.5,56,22.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-07-31,2.2,31.8,25.5,62,11.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-01,75.7,31.1,24.2,99,19.2,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-02,40.9,31.8,26.6,81,17.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-03,45.0,32.4,23.7,89,4.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-04,19.3,29.5,21.0,78,3.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-05,6.5,29.3,23.6,63,15.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-06,3.8,27.6,18.2,63,7.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-07,3.2,29.9,23.6,57,2.2,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-08,19.9,30.9,25.1,72,10.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-09,14.1,29.5,23.2,73,6.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-10,10.7,28.4,20.5,67,25.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-11,21.6,30.8,24.4,75,18.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-12,1.1,30.8,23.3,65,8.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-13,13.4,29.1,20.9,70,18.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-14,14.6,32.0,23.9,74,17.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-15,9.7,30.5,21.8,60,9.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-16,3.9,27.9,20.2,68,14.7,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-17,18.3,28.4,19.3,71,21.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-18,7.5,27.8,18.0,59,25.2,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-19,16.0,32.8,23.0,74,10.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-20,0.3,30.4,23.1,61,18.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-21,18.2,32.5,27.0,68,2.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-22,12.4,32.5,26.4,61,21.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-23,6.7,29.5,23.8,69,9.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-24,2.1,32.5,26.8,59,18.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-25,20.9,29.4,20.7,68,12.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-26,10.8,29.5,19.7,60,10.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-27,21.0,32.0,26.5,76,15.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-28,7.9,29.5,23.6,59,22.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-29,14.6,30.8,22.8,62,20.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-30,2.8,30.5,25.2,64,7.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-08-31,19.2,28.8,23.1,78,2.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-01,2.2,27.9,21.6,55,17.9,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-02,36.0,31.3,23.4,77,8.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-03,17.5,29.4,23.8,65,12.8,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-04,9.1,29.8,23.7,66,19.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-05,10.1,28.8,20.6,59,26.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-06,6.5,27.7,19.1,62,23.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-07,2.3,27.9,19.8,61,19.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-08,9.2,28.8,21.3,64,21.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-09,10.0,32.3,24.5,71,12.3,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-10,6.3,32.1,25.1,66,9.5,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-11,3.9,32.9,24.5,61,4.2,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-12,27.2,31.2,22.1,78,16.1,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-13,25.0,28.8,23.2,74,18.0,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-14,28.3,31.9,23.3,85,16.4,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-15,8.9,28.3,20.0,61,4.6,IMD-synthetic
D-AS-01,Kamrup Metropolitan,AS,2026-09-16,5.6,31.7,23.8,67,22.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-20,14.1,30.6,22.4,62,24.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-21,4.6,28.2,19.7,59,10.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-22,48.1,28.8,23.1,94,2.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-23,31.6,27.9,20.8,78,10.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-24,13.3,30.4,25.0,62,5.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-25,11.6,28.6,20.3,66,12.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-26,13.0,27.6,20.5,65,18.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-27,11.5,27.3,20.3,68,2.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-28,3.6,27.9,21.6,59,2.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-29,3.0,29.4,20.9,61,22.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-30,1.2,32.3,27.1,53,24.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-05-31,9.9,30.4,21.9,64,4.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-01,51.1,32.0,24.7,97,10.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-02,39.3,27.2,20.0,85,3.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-03,52.2,30.8,24.7,99,3.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-04,14.0,28.1,19.2,66,25.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-05,3.9,27.7,21.4,57,5.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-06,2.0,32.8,24.7,59,15.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-07,18.0,32.2,24.0,78,9.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-08,8.3,29.7,22.4,66,21.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-09,9.3,27.5,20.2,59,10.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-10,17.0,32.8,27.3,72,11.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-11,25.2,31.2,26.0,82,15.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-12,16.0,29.9,20.1,69,21.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-13,25.9,27.2,19.0,70,19.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-14,13.8,30.6,23.8,74,11.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-15,17.9,27.2,19.0,69,9.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-16,10.2,28.5,19.2,72,16.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-17,2.1,31.1,21.5,57,17.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-18,3.4,31.4,26.0,62,17.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-19,3.4,31.3,21.6,68,23.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-20,17.7,29.9,24.8,68,24.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-21,20.2,28.0,18.0,68,9.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-22,13.4,30.2,21.5,68,17.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-23,16.3,30.5,24.7,65,18.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-24,23.8,31.1,25.9,73,19.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-25,16.1,31.4,22.5,66,7.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-26,20.7,32.2,26.2,75,15.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-27,20.3,31.5,24.0,72,5.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-28,15.9,32.1,26.8,69,10.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-29,18.8,30.0,24.4,66,5.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-06-30,13.5,31.9,26.4,74,21.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-01,26.8,29.2,22.2,75,11.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-02,46.8,32.0,22.8,93,21.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-03,33.3,28.3,19.2,85,5.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-04,12.9,27.0,21.6,64,22.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-05,21.0,30.0,24.4,70,9.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-06,85.3,29.5,24.2,99,14.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-07,46.2,30.2,22.3,94,9.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-08,28.9,28.8,20.9,74,18.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-09,10.4,32.7,25.0,70,14.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-10,47.8,28.7,21.8,95,10.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-11,31.0,28.1,19.8,75,16.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-12,53.4,27.1,20.3,94,17.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-13,19.7,32.7,25.3,68,5.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-14,27.2,26.9,20.9,82,23.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-15,8.9,29.4,20.3,64,2.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-16,8.2,32.2,27.0,66,8.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-17,12.6,29.4,22.2,74,10.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-18,20.0,29.0,20.0,69,4.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-19,12.4,32.9,27.0,64,4.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-20,8.5,29.7,21.1,60,12.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-21,21.0,32.3,24.2,72,17.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-22,1.7,31.2,24.2,60,20.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-23,0.9,32.2,23.8,58,5.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-24,18.6,29.0,19.3,65,5.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-25,10.7,29.7,24.3,61,10.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-26,8.0,32.8,27.7,60,14.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-27,3.4,31.8,23.3,57,16.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-28,28.8,27.9,22.2,73,6.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-29,28.7,31.6,21.8,85,18.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-30,15.9,28.6,22.1,65,19.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-07-31,5.0,29.3,23.2,69,21.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-01,10.9,29.2,21.3,66,25.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-02,19.5,27.2,20.2,75,13.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-03,9.0,30.5,24.9,62,3.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-04,11.4,27.8,18.7,67,16.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-05,2.8,30.1,20.8,65,14.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-06,3.6,32.7,26.6,67,14.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-07,1.7,28.3,18.5,57,17.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-08,2.1,31.0,23.0,61,6.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-09,19.9,28.9,19.3,66,22.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-10,71.7,27.6,21.5,99,16.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-11,22.8,32.1,24.4,76,9.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-12,28.2,31.5,24.5,78,18.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-13,26.0,29.2,21.9,74,5.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-14,7.1,33.0,26.3,62,20.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-15,2.3,28.6,23.0,59,5.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-16,76.2,28.4,18.6,99,21.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-17,45.3,30.7,24.8,85,25.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-18,33.7,31.9,24.4,76,11.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-19,5.3,30.6,25.4,59,16.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-20,14.8,28.6,23.6,63,5.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-21,8.1,29.5,24.3,58,15.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-22,6.4,29.4,22.1,64,21.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-23,13.5,27.7,22.2,66,25.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-24,8.1,27.9,19.9,63,3.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-25,50.6,29.2,21.9,95,14.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-26,30.2,30.3,24.5,87,19.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-27,29.5,28.7,19.6,80,19.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-28,29.5,31.6,24.8,82,25.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-29,17.6,31.2,22.8,64,13.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-30,17.3,31.5,23.6,74,16.0,IMD-synthetic
D-AS-02,Nagaon,AS,2026-08-31,13.9,30.7,21.5,63,18.3,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-01,27.6,26.8,20.2,73,18.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-02,22.4,31.4,21.8,79,19.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-03,16.4,27.7,21.7,68,17.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-04,24.4,28.6,22.7,81,10.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-05,11.8,31.3,23.1,69,16.6,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-06,3.8,30.5,24.4,68,9.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-07,3.2,31.3,24.7,59,24.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-08,4.2,27.8,19.4,60,25.5,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-09,14.6,31.8,25.3,66,19.1,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-10,6.8,28.6,21.2,59,14.9,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-11,10.7,27.8,19.7,67,7.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-12,8.1,30.9,25.6,63,19.2,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-13,11.8,27.0,19.2,73,11.8,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-14,13.5,29.8,23.8,74,9.7,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-15,13.9,27.5,19.6,69,19.4,IMD-synthetic
D-AS-02,Nagaon,AS,2026-09-16,14.0,28.0,18.6,64,24.1,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-20,6.8,29.9,20.2,70,24.2,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-21,0.2,30.4,24.9,65,8.8,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-22,9.3,29.8,20.1,70,13.2,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-23,1.9,27.9,20.6,56,6.5,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-24,13.6,30.2,21.4,63,22.5,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-25,14.2,29.9,24.5,71,6.4,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-26,5.6,28.4,22.1,59,20.1,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-27,5.2,31.3,26.2,64,18.6,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-28,44.3,27.2,18.8,95,23.3,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-29,32.0,30.6,22.4,87,10.8,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-30,16.4,29.6,22.3,77,11.0,IMD-synthetic
D-AS-03,Jorhat,AS,2026-05-31,15.7,31.3,22.3,74,20.3,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-01,15.7,31.5,23.9,70,10.7,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-02,3.0,31.9,22.4,56,14.9,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-03,22.5,29.3,20.9,77,13.7,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-04,11.7,27.1,21.4,66,15.5,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-05,17.7,28.6,23.5,67,2.1,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-06,1.9,29.5,21.0,60,3.4,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-07,26.0,29.4,23.0,72,5.3,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-08,19.2,32.5,25.6,77,12.8,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-09,10.0,27.3,17.5,71,5.2,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-10,3.1,32.9,25.9,55,25.5,IMD-synthetic
D-AS-03,Jorhat,AS,2026-06-11,19.9,32.5,25.2,75,12.2,IMD-synthetic
