disruption_id,segment_id,district_id,state_code,highway_code,cause,linked_landslide_id,start_time,end_time,duration_hours,closure_type,severity,vehicles_stranded,cargo_tonnes_affected,essential_cargo_affected,cargo_type,alternate_route_available,alternate_segment_id,detour_extra_km,restoration_agency,restoration_cost_inr,estimated_economic_loss_inr,rainfall_72h_mm,susceptibility_class,fiscal_period
DSR-00150,SEG-0066,D-AR-09,AR,NH-315,landslide,LS-00258,2015-04-12T06:00:00,2015-04-12T09:36:00,3.6,partial,moderate,0,0.0,False,vaccines,True,SEG-0067,43.2,State PWD,75494,0,446.6,very_high,2015-16
DSR-01935,SEG-0059,D-AR-04,AR,NH-13,flood,,2015-04-17T00:45:00,2015-04-18T14:03:00,37.3,full,moderate,33,218.1,False,fuel,True,SEG-0060,154.1,NDRF,792736,916332,214.3,very_high,2015-16
DSR-00081,SEG-0034,D-MZ-04,MZ,NH-306,landslide,LS-00125,2015-04-22T09:45:00,2015-04-22T12:21:00,2.6,partial,minor,68,324.3,True,relief_supplies,True,SEG-0033,177.0,NDRF,336299,1421706,220.3,high,2015-16
DSR-02052,SEG-0062,D-AS-09,AS,NH-13-W,bridge_damage,,2015-04-24T00:30:00,2015-05-10T19:12:00,402.7,full,major,25,137.9,False,vaccines,True,SEG-0063,47.7,BRO (Border Roads Organisation),4384271,433035,97.5,high,2015-16
DSR-00155,SEG-0059,D-AR-04,AR,NH-13,landslide,LS-00265,2015-05-01T22:45:00,2015-05-02T01:57:00,3.2,partial,minor,68,261.3,True,relief_supplies,True,SEG-0060,77.6,NDRF,418555,626926,282.5,very_high,2015-16
DSR-00108,SEG-0013,D-ML-01,ML,NH-6,landslide,LS-00181,2015-05-03T07:00:00,2015-05-03T10:00:00,3.0,partial,moderate,0,0.0,False,construction_material,True,SEG-0012,62.8,NDRF,169748,0,745.3,very_high,2015-16
DSR-00040,SEG-0038,D-TR-04,TR,NH-8,landslide,LS-00064,2015-05-04T05:30:00,2015-05-04T06:30:00,1.0,partial,minor,51,129.0,True,agri_produce,True,SEG-0039,61.5,State PWD,61566,315263,590.9,very_low,2015-16
DSR-02080,SEG-0004,D-AS-01,AS,NH-27,bridge_damage,,2015-05-05T03:45:00,2015-05-30T19:15:00,615.5,full,major,90,539.1,True,lpg_cylinders,True,SEG-0017,144.2,SDRF,6271270,995182,259.8,low,2015-16
DSR-00139,SEG-0031,D-MN-02,MN,NH-2-S,landslide,LS-00233,2015-05-05T21:15:00,2015-05-06T04:57:00,7.7,partial,moderate,8,28.3,False,food_grains,True,SEG-0032,107.3,State PWD,121530,72245,150.3,moderate,2015-16
DSR-01750,SEG-0055,D-SK-04,SK,NH-510,flood,,2015-05-06T02:15:00,2015-05-16T02:09:00,239.9,full,major,43,181.0,True,relief_supplies,True,SEG-0054,28.7,NDRF,8447741,455623,455.7,very_high,2015-16
DSR-00020,SEG-0030,D-MN-04,MN,NH-37,landslide,LS-00034,2015-05-07T20:30:00,2015-05-08T07:24:00,10.9,partial,moderate,52,165.4,False,lpg_cylinders,True,SEG-0029,60.8,SDRF,1387935,933863,450.8,moderate,2015-16
DSR-00116,SEG-0036,D-MZ-05,MZ,NH-306,landslide,LS-00197,2015-05-10T12:45:00,2015-05-10T15:33:00,2.8,partial,minor,0,0.0,True,medicines,True,SEG-0035,83.6,SDRF,123238,0,302.3,high,2015-16
DSR-00110,SEG-0061,D-AR-06,AR,NH-13,landslide,LS-00184,2015-05-10T17:15:00,2015-05-10T18:15:00,1.0,partial,minor,39,186.2,False,vaccines,True,SEG-0060,78.4,NDRF,130722,825947,181.8,high,2015-16
DSR-00159,SEG-0068,D-AS-08,AS,NH-27-DH,landslide,LS-00270,2015-05-11T18:30:00,2015-05-11T21:42:00,3.2,partial,minor,42,276.3,True,relief_supplies,True,SEG-0069,80.3,NHIDCL,80353,1018117,128.1,high,2015-16
DSR-00109,SEG-0014,D-ML-01,ML,NH-6,landslide,LS-00183,2015-05-12T17:30:00,2015-05-17T23:24:00,125.9,full,major,125,421.5,False,medicines,True,SEG-0013,57.3,BRO (Border Roads Organisation),12831754,997561,294.3,high,2015-16
DSR-00146,SEG-0015,D-ML-02,ML,NH-6,landslide,LS-00248,2015-05-12T18:00:00,2015-05-13T01:42:00,7.7,partial,moderate,8,24.7,False,medicines,True,SEG-0045,27.9,NDRF,490199,86119,676.4,high,2015-16
DSR-01638,SEG-0024,D-MN-05,MN,NH-2,fallen_tree,,2015-05-15T00:00:00,2015-05-15T13:54:00,13.9,full,moderate,50,228.7,True,food_grains,True,SEG-0023,61.5,State PWD,297086,386126,166.3,high,2015-16
DSR-01963,SEG-0042,D-TR-02,TR,NH-8,protest_blockade,,2015-05-16T14:15:00,2015-05-16T17:39:00,3.4,partial,minor,28,168.9,False,agri_produce,True,SEG-0043,24.4,SDRF,31437,477992,32.9,moderate,2015-16
DSR-02138,SEG-0065,D-AR-05,AR,NH-315,road_subsidence,,2015-05-16T14:30:00,2015-06-01T07:30:00,377.0,full,major,56,453.8,False,fuel,True,SEG-0061,129.6,SDRF,8134406,1257864,223.4,high,2015-16
DSR-00013,SEG-0018,D-AS-10,AS,NH-27-SPUR,landslide,LS-00022,2015-05-18T21:15:00,2015-05-19T12:27:00,15.2,full,major,142,1228.9,True,vaccines,True,SEG-0017,204.4,BRO (Border Roads Organisation),589728,2955799,472.2,moderate,2015-16
DSR-01637,SEG-0066,D-AR-09,AR,NH-315,fallen_tree,,2015-05-20T20:00:00,2015-05-22T14:00:00,42.0,full,moderate,60,272.1,False,construction_material,True,SEG-0067,60.3,BRO (Border Roads Organisation),1464215,960891,167.1,very_high,2015-16
DSR-00106,SEG-0060,D-AR-06,AR,NH-13,landslide,LS-00175,2015-05-23T05:00:00,2015-05-23T09:12:00,4.2,partial,minor,21,75.1,True,fuel,True,SEG-0059,94.5,NHIDCL,338533,132500,36.3,very_high,2015-16
DSR-00083,SEG-0013,D-ML-01,ML,NH-6,landslide,LS-00134,2015-05-23T18:00:00,2015-05-23T19:00:00,1.0,partial,minor,50,243.9,True,vaccines,True,SEG-0012,62.9,State PWD,79993,605669,129.0,very_high,2015-16
DSR-01774,SEG-0009,D-AS-03,AS,NH-27,road_subsidence,,2015-05-23T21:30:00,2015-05-28T16:18:00,114.8,full,major,40,289.5,False,fuel,True,SEG-0008,51.4,BRO (Border Roads Organisation),1695801,656032,258.5,low,2015-16
DSR-01886,SEG-0050,D-SK-02,SK,NH-310,accident_blockage,,2015-05-26T06:00:00,2015-05-26T16:42:00,10.7,partial,moderate,75,445.9,True,lpg_cylinders,True,SEG-0049,50.5,NHIDCL,288782,1619571,143.1,very_high,2015-16
DSR-00088,SEG-0013,D-ML-01,ML,NH-6,landslide,LS-00143,2015-06-01T05:15:00,2015-06-02T07:51:00,26.6,full,moderate,58,497.4,True,medicines,True,SEG-0012,72.4,State PWD,910142,929952,912.4,very_high,2015-16
DSR-01986,SEG-0037,D-MZ-01,MZ,NH-302,flood,,2015-06-04T05:15:00,2015-06-25T16:33:00,515.3,full,major,67,450.9,True,agri_produce,True,SEG-0035,72.5,State PWD,11929076,1094921,512.6,high,2015-16
DSR-00036,SEG-0048,D-SK-01,SK,NH-10,landslide,LS-00059,2015-06-04T19:30:00,2015-06-05T02:06:00,6.6,partial,moderate,58,516.8,False,relief_supplies,True,SEG-0047,15.3,SDRF,209804,2321502,172.4,high,2015-16
DSR-02096,SEG-0039,D-TR-01,TR,NH-8,fallen_tree,,2015-06-05T18:15:00,2015-06-06T19:27:00,25.2,full,moderate,109,473.1,False,fuel,True,SEG-0038,116.6,State PWD,745737,2118144,14.9,moderate,2015-16
DSR-00037,SEG-0020,D-ML-04,ML,NH-27-SPUR,landslide,LS-00060,2015-06-05T21:30:00,2015-06-06T00:00:00,2.5,partial,minor,16,78.2,False,food_grains,True,SEG-0019,52.0,NDRF,94258,362474,100.2,moderate,2015-16
DSR-01834,SEG-0047,D-SK-01,SK,NH-10,flood,,2015-06-06T04:30:00,2015-06-14T12:06:00,199.6,full,major,69,269.8,True,fuel,True,SEG-0046,104.8,State PWD,6451467,741864,595.4,high,2015-16
DSR-02113,SEG-0013,D-ML-01,ML,NH-6,road_subsidence,,2015-06-10T08:00:00,2015-06-24T15:00:00,343.0,full,major,66,384.7,False,lpg_cylinders,True,SEG-0012,57.1,State PWD,10533117,776769,116.0,very_high,2015-16
DSR-02268,SEG-0028,D-MN-01,MN,NH-37,bridge_damage,,2015-06-10T21:30:00,2015-07-29T23:48:00,1178.3,full,catastrophic,46,335.7,False,food_grains,True,SEG-0032,71.7,SDRF,40555167,1185150,200.3,high,2015-16
DSR-00015,SEG-0054,D-SK-03,SK,NH-510,landslide,LS-00025,2015-06-11T08:30:00,2015-06-11T11:24:00,2.9,partial,minor,2,11.7,True,vaccines,True,SEG-0053,17.3,State PWD,158561,29746,237.1,high,2015-16
DSR-00143,SEG-0052,D-SK-01,SK,NH-510,landslide,LS-00241,2015-06-11T19:00:00,2015-06-12T07:24:00,12.4,full,moderate,45,370.4,False,fuel,True,SEG-0048,27.3,NHIDCL,596961,1259475,358.0,very_high,2015-16
DSR-02010,SEG-0035,D-MZ-01,MZ,NH-306,bridge_damage,,2015-06-11T19:30:00,2015-07-16T19:36:00,840.1,full,catastrophic,98,758.4,False,agri_produce,True,SEG-0034,129.0,NHIDCL,25789564,3254499,295.7,high,2015-16
DSR-00010,SEG-0031,D-MN-02,MN,NH-2-S,landslide,LS-00019,2015-06-15T18:30:00,2015-06-23T17:00:00,190.5,full,major,61,207.7,False,medicines,True,SEG-0032,93.0,NHIDCL,4195138,581188,410.3,moderate,2015-16
DSR-02224,SEG-0003,D-AS-10,AS,NH-27,protest_blockade,,2015-06-16T04:45:00,2015-06-16T07:39:00,2.9,partial,minor,0,0.0,False,lpg_cylinders,True,SEG-0004,112.5,NHIDCL,99761,0,82.2,low,2015-16
DSR-02287,SEG-0045,D-AS-12,AS,NH-8,bridge_damage,,2015-06-17T09:00:00,2015-07-10T15:00:00,558.0,full,major,111,482.1,True,medicines,True,SEG-0015,156.8,BRO (Border Roads Organisation),18712176,1163283,395.6,low,2015-16
DSR-02171,SEG-0026,D-NL-04,NL,NH-29,fallen_tree,,2015-06-18T01:30:00,2015-06-18T17:48:00,16.3,full,moderate,142,785.2,False,food_grains,True,SEG-0027,39.5,SDRF,488576,2014273,50.4,high,2015-16
DSR-02235,SEG-0028,D-MN-01,MN,NH-37,flood,,2015-06-18T04:15:00,2015-06-23T10:57:00,126.7,full,major,46,315.2,False,construction_material,True,SEG-0031,97.0,State PWD,5307767,423692,204.0,high,2015-16
DSR-02021,SEG-0060,D-AR-06,AR,NH-13,fallen_tree,,2015-06-18T15:00:00,2015-06-18T21:54:00,6.9,partial,moderate,41,281.5,True,agri_produce,True,SEG-0061,86.2,State PWD,282463,683801,10.1,very_high,2015-16
DSR-00039,SEG-0031,D-MN-02,MN,NH-2-S,landslide,LS-00062,2015-06-18T18:30:00,2015-06-18T20:36:00,2.1,partial,minor,68,487.6,False,agri_produce,True,SEG-0028,101.5,SDRF,77622,1737701,293.9,moderate,2015-16
DSR-00111,SEG-0061,D-AR-06,AR,NH-13,landslide,LS-00188,2015-06-19T18:45:00,2015-06-25T18:33:00,143.8,full,catastrophic,73,564.5,False,food_grains,True,SEG-0065,110.8,State PWD,13022767,1456923,205.4,high,2015-16
DSR-00120,SEG-0024,D-MN-05,MN,NH-2,landslide,LS-00204,2015-06-21T06:00:00,2015-06-26T14:24:00,128.4,full,major,64,427.2,True,medicines,True,SEG-0031,100.3,State PWD,4715955,774028,246.7,high,2015-16
DSR-01959,SEG-0071,D-AS-08,AS,NH-36,accident_blockage,,2015-06-22T02:00:00,2015-06-22T10:42:00,8.7,partial,moderate,69,250.0,False,lpg_cylinders,True,SEG-0021,95.3,NDRF,365284,886778,107.8,moderate,2015-16
DSR-00028,SEG-0042,D-TR-02,TR,NH-8,landslide,LS-00044,2015-06-24T11:00:00,2015-06-24T12:00:00,1.0,partial,minor,0,0.0,True,lpg_cylinders,True,SEG-0043,43.7,State PWD,69213,0,121.9,moderate,2015-16
DSR-00050,SEG-0050,D-SK-02,SK,NH-310,landslide,LS-00077,2015-06-24T13:30:00,2015-06-24T16:30:00,3.0,partial,minor,8,42.1,False,vaccines,True,SEG-0049,44.9,NHIDCL,77793,84897,461.8,very_high,2015-16
DSR-02198,SEG-0026,D-NL-04,NL,NH-29,road_subsidence,,2015-06-26T11:45:00,2015-07-06T05:33:00,233.8,full,major,25,91.5,False,lpg_cylinders,True,SEG-0025,97.0,NHIDCL,10303888,327540,336.0,high,2015-16
DSR-02148,SEG-0062,D-AS-09,AS,NH-13-W,fallen_tree,,2015-06-26T19:15:00,2015-06-27T22:09:00,26.9,full,moderate,0,0.0,True,agri_produce,True,SEG-0006,48.7,State PWD,876858,0,137.8,high,2015-16
DSR-01898,SEG-0020,D-ML-04,ML,NH-27-SPUR,fallen_tree,,2015-06-26T21:15:00,2015-06-27T20:09:00,22.9,full,moderate,130,697.6,True,medicines,True,SEG-0019,78.5,SDRF,1034551,764667,51.3,moderate,2015-16
DSR-02286,SEG-0002,D-AS-10,AS,NH-27,accident_blockage,,2015-06-27T07:45:00,2015-06-27T10:09:00,2.4,partial,minor,60,530.3,True,lpg_cylinders,True,SEG-0003,108.5,NHIDCL,32690,2114177,8.0,low,2015-16
DSR-00025,SEG-0060,D-AR-06,AR,NH-13,landslide,LS-00040,2015-06-28T13:15:00,2015-06-29T12:15:00,23.0,full,moderate,190,1083.5,False,food_grains,True,SEG-0059,119.8,NHIDCL,1278082,4412417,30.4,very_high,2015-16
DSR-00125,SEG-0062,D-AS-09,AS,NH-13-W,landslide,LS-00211,2015-07-01T04:30:00,2015-07-01T05:30:00,1.0,partial,minor,0,0.0,False,construction_material,True,SEG-0006,80.5,NHIDCL,28804,0,543.0,high,2015-16
DSR-01717,SEG-0021,D-NL-02,NL,NH-2,flood,,2015-07-01T07:45:00,2015-07-03T20:33:00,60.8,full,moderate,62,193.9,False,fuel,True,SEG-0071,52.3,NHIDCL,976348,490308,437.1,high,2015-16
DSR-00156,SEG-0014,D-ML-01,ML,NH-6,landslide,LS-00266,2015-07-01T10:30:00,2015-07-02T19:42:00,33.2,full,moderate,73,288.3,False,fuel,True,SEG-0015,138.7,SDRF,2308786,581634,836.0,high,2015-16
DSR-02236,SEG-0043,D-TR-02,TR,NH-8,flood,,2015-07-02T00:30:00,2015-07-12T02:24:00,241.9,full,major,71,550.8,True,lpg_cylinders,True,SEG-0044,127.0,SDRF,9011555,1299408,240.6,moderate,2015-16
DSR-00027,SEG-0050,D-SK-02,SK,NH-310,landslide,LS-00043,2015-07-02T22:15:00,2015-07-03T09:51:00,11.6,partial,moderate,65,269.4,False,relief_supplies,True,SEG-0051,21.9,NDRF,1626817,295715,397.9,very_high,2015-16
DSR-00103,SEG-0023,D-MN-05,MN,NH-2,landslide,LS-00171,2015-07-05T11:30:00,2015-07-08T12:36:00,73.1,full,major,88,724.2,True,relief_supplies,True,SEG-0022,28.3,BRO (Border Roads Organisation),3329420,3151712,422.5,moderate,2015-16
DSR-01642,SEG-0001,D-WB-01,WB,NH-27,flood,,2015-07-06T13:30:00,2015-07-08T16:12:00,50.7,full,moderate,38,182.9,True,agri_produce,True,SEG-0046,64.0,SDRF,1010112,418862,308.5,low,2015-16
DSR-02277,SEG-0039,D-TR-01,TR,NH-8,protest_blockade,,2015-07-08T08:15:00,2015-07-09T07:39:00,23.4,full,moderate,20,147.2,False,agri_produce,True,SEG-0038,106.7,State PWD,357545,409573,136.0,moderate,2015-16
DSR-02069,SEG-0070,D-AS-02,AS,NH-36,flood,,2015-07-08T16:00:00,2015-07-17T05:42:00,205.7,full,major,87,573.7,False,construction_material,True,SEG-0071,55.1,SDRF,6446930,1376571,692.6,low,2015-16
DSR-00003,SEG-0037,D-MZ-01,MZ,NH-302,landslide,LS-00004,2015-07-08T21:15:00,2015-07-09T10:15:00,13.0,full,moderate,72,405.3,True,medicines,True,SEG-0034,108.2,NHIDCL,578557,955120,477.3,high,2015-16
DSR-01838,SEG-0027,D-NL-03,NL,NH-29,fallen_tree,,2015-07-10T01:30:00,2015-07-10T09:42:00,8.2,partial,moderate,20,167.5,False,relief_supplies,True,SEG-0026,58.7,NDRF,266853,690780,160.5,high,2015-16
DSR-00008,SEG-0029,D-MN-04,MN,NH-37,landslide,LS-00016,2015-07-11T06:15:00,2015-07-11T12:03:00,5.8,partial,moderate,14,53.7,True,construction_material,True,SEG-0030,39.7,NDRF,119362,162400,381.3,moderate,2015-16
DSR-00026,SEG-0059,D-AR-04,AR,NH-13,landslide,LS-00041,2015-07-12T00:30:00,2015-07-12T16:00:00,15.5,full,moderate,23,134.6,True,construction_material,True,SEG-0058,94.9,BRO (Border Roads Organisation),828500,417651,541.1,very_high,2015-16
DSR-00023,SEG-0068,D-AS-08,AS,NH-27-DH,landslide,LS-00037,2015-07-12T02:45:00,2015-07-27T11:51:00,369.1,full,major,126,1018.9,False,agri_produce,True,SEG-0069,111.1,BRO (Border Roads Organisation),10361688,4312799,160.3,high,2015-16
DSR-01646,SEG-0029,D-MN-04,MN,NH-37,accident_blockage,,2015-07-12T12:15:00,2015-07-12T16:03:00,3.8,partial,minor,0,0.0,True,construction_material,True,SEG-0030,63.6,State PWD,98681,0,104.0,moderate,2015-16
DSR-00078,SEG-0013,D-ML-01,ML,NH-6,landslide,LS-00120,2015-07-13T02:45:00,2015-07-13T03:45:00,1.0,partial,minor,26,139.2,False,medicines,True,SEG-0012,61.5,State PWD,139807,209374,292.6,very_high,2015-16
DSR-01985,SEG-0030,D-MN-04,MN,NH-37,bridge_damage,,2015-07-13T11:15:00,2015-08-02T12:57:00,481.7,full,major,29,225.2,True,relief_supplies,True,SEG-0033,127.3,NHIDCL,6497012,624304,221.3,moderate,2015-16
DSR-00160,SEG-0069,D-AS-07,AS,NH-27-DH,landslide,LS-00271,2015-07-13T11:30:00,2015-07-19T17:42:00,150.2,full,major,100,318.0,False,agri_produce,True,SEG-0030,63.3,State PWD,2324776,785310,43.0,high,2015-16
DSR-00163,SEG-0064,D-AR-03,AR,NH-13-W,landslide,LS-00274,2015-07-14T07:00:00,2015-07-16T03:12:00,44.2,full,moderate,145,587.4,False,lpg_cylinders,True,SEG-0063,75.7,NHIDCL,2109304,1132755,495.9,very_high,2015-16
DSR-01955,SEG-0059,D-AR-04,AR,NH-13,protest_blockade,,2015-07-15T14:00:00,2015-07-16T12:30:00,22.5,full,moderate,124,505.5,True,lpg_cylinders,True,SEG-0060,100.9,NHIDCL,773059,911869,178.5,very_high,2015-16
DSR-00130,SEG-0026,D-NL-04,NL,NH-29,landslide,LS-00218,2015-07-16T11:00:00,2015-07-16T12:00:00,1.0,partial,minor,5,35.0,False,construction_material,True,SEG-0027,37.5,SDRF,76609,41042,516.7,high,2015-16
DSR-00052,SEG-0013,D-ML-01,ML,NH-6,landslide,LS-00079,2015-07-17T08:15:00,2015-07-17T11:03:00,2.8,partial,minor,0,0.0,False,vaccines,True,SEG-0012,55.0,State PWD,117392,0,270.4,very_high,2015-16
DSR-00076,SEG-0058,D-AR-01,AR,NH-13,landslide,LS-00117,2015-07-18T02:15:00,2015-07-18T03:27:00,1.2,partial,minor,49,200.7,False,relief_supplies,True,SEG-0059,148.7,SDRF,28844,708289,165.6,high,2015-16
DSR-00067,SEG-0052,D-SK-01,SK,NH-510,landslide,LS-00099,2015-07-21T05:00:00,2015-07-24T08:42:00,75.7,full,major,91,719.4,False,fuel,True,SEG-0049,31.3,NDRF,2278963,3330977,593.0,very_high,2015-16
DSR-02093,SEG-0037,D-MZ-01,MZ,NH-302,flood,,2015-07-22T14:00:00,2015-08-01T13:54:00,239.9,full,major,60,514.1,False,vaccines,True,SEG-0034,111.1,NHIDCL,8093742,1654716,359.7,high,2015-16
DSR-02121,SEG-0054,D-SK-03,SK,NH-510,fallen_tree,,2015-07-23T19:45:00,2015-07-25T13:39:00,41.9,full,moderate,78,508.7,False,fuel,True,SEG-0053,10.9,NDRF,1006729,2232204,179.3,high,2015-16
DSR-01952,SEG-0022,D-NL-01,NL,NH-2,bridge_damage,,2015-07-24T01:15:00,2015-07-30T04:39:00,147.4,full,major,22,101.9,False,vaccines,True,SEG-0023,50.3,SDRF,5881956,409433,194.7,high,2015-16
DSR-00029,SEG-0050,D-SK-02,SK,NH-310,landslide,LS-00046,2015-07-25T05:45:00,2015-07-25T12:57:00,7.2,partial,moderate,0,0.0,False,medicines,True,SEG-0049,43.4,NHIDCL,944163,0,176.6,very_high,2015-16
DSR-00132,SEG-0058,D-AR-01,AR,NH-13,landslide,LS-00221,2015-08-01T07:00:00,2015-08-10T18:54:00,227.9,full,major,59,398.9,True,medicines,True,SEG-0059,122.5,NHIDCL,27242689,1404316,538.5,high,2015-16
DSR-02251,SEG-0068,D-AS-08,AS,NH-27-DH,protest_blockade,,2015-08-04T01:45:00,2015-08-05T21:21:00,43.6,full,moderate,62,218.8,False,food_grains,True,SEG-0069,62.8,NHIDCL,1265860,780895,123.4,high,2015-16
DSR-00123,SEG-0034,D-MZ-04,MZ,NH-306,landslide,LS-00209,2015-08-04T14:30:00,2015-08-05T16:18:00,25.8,full,moderate,86,308.7,False,medicines,True,SEG-0033,153.2,NDRF,1117663,1273028,434.2,high,2015-16
DSR-00019,SEG-0056,D-AS-09,AS,NH-15,landslide,LS-00032,2015-08-05T13:45:00,2015-08-05T15:03:00,1.3,partial,minor,23,198.7,False,medicines,True,SEG-0057,96.4,SDRF,126617,300640,552.7,low,2015-16
DSR-00105,SEG-0013,D-ML-01,ML,NH-6,landslide,LS-00174,2015-08-06T05:45:00,2015-08-06T11:57:00,6.2,partial,moderate,86,336.0,True,fuel,True,SEG-0012,65.0,NDRF,259097,1351568,904.3,very_high,2015-16
DSR-01828,SEG-0002,D-AS-10,AS,NH-27,accident_blockage,,2015-08-06T13:00:00,2015-08-07T02:48:00,13.8,full,moderate,22,162.2,True,construction_material,True,SEG-0003,66.9,State PWD,285684,320141,27.2,low,2015-16
DSR-01712,SEG-0020,D-ML-04,ML,NH-27-SPUR,bridge_damage,,2015-08-08T22:15:00,2015-09-03T03:51:00,605.6,full,major,74,602.9,True,food_grains,True,SEG-0019,49.0,BRO (Border Roads Organisation),10973043,1997133,138.9,moderate,2015-16
DSR-00096,SEG-0021,D-NL-02,NL,NH-2,landslide,LS-00160,2015-08-10T23:30:00,2015-08-11T01:30:00,2.0,partial,minor,34,262.2,False,medicines,True,SEG-0022,37.3,NDRF,106781,397263,473.6,high,2015-16
DSR-00114,SEG-0015,D-ML-02,ML,NH-6,landslide,LS-00193,2015-08-11T19:15:00,2015-08-13T23:39:00,52.4,full,moderate,15,98.3,True,construction_material,True,SEG-0014,77.6,BRO (Border Roads Organisation),4908574,279002,420.9,high,2015-16
DSR-00098,SEG-0015,D-ML-02,ML,NH-6,landslide,LS-00165,2015-08-11T22:00:00,2015-08-12T06:06:00,8.1,partial,moderate,38,273.9,True,relief_supplies,True,SEG-0014,56.9,NDRF,942546,433041,120.6,high,2015-16
DSR-02186,SEG-0040,D-TR-03,TR,NH-8,flood,,2015-08-11T22:45:00,2015-08-13T03:09:00,28.4,full,moderate,25,191.5,True,vaccines,True,SEG-0041,69.9,SDRF,618784,651917,486.2,moderate,2015-16
